t_rr_s,rr_s
27481.59375,1.015625
27482.58203125,0.98828125
27483.548828125,0.966796875
27484.685546875,1.13671875
27485.599609375,0.9140625
27486.482421875,0.8828125
27487.146484375,0.6640625
27488.0078125,0.861328125
27489.037109375,1.029296875
27490.181640625,1.14453125
27491.275390625,1.09375
27492.390625,1.115234375
27493.470703125,1.080078125
27494.505859375,1.03515625
27495.5234375,1.017578125
27496.52734375,1.00390625
27497.517578125,0.990234375
27498.501953125,0.984375
27499.513671875,1.01171875
27500.728515625,1.21484375
27501.54296875,0.814453125
27502.5390625,0.99609375
27503.451171875,0.912109375
27504.349609375,0.8984375
27505.310546875,0.9609375
27506.33203125,1.021484375
27507.33984375,1.0078125
27508.328125,0.98828125
27509.32421875,0.99609375
27510.521484375,1.197265625
27511.3125,0.791015625
27512.255859375,0.943359375
27513.232421875,0.9765625
27514.431640625,1.19921875
27515.23828125,0.806640625
27516.22265625,0.984375
27517.212890625,0.990234375
27518.19921875,0.986328125
27519.130859375,0.931640625
27520.103515625,0.97265625
27521.130859375,1.02734375
27522.328125,1.197265625
27523.181640625,0.853515625
27524.171875,0.990234375
27525.337890625,1.166015625
27526.279296875,0.94140625
27527.234375,0.955078125
27528.0078125,0.7734375
27528.912109375,0.904296875
27529.7890625,0.876953125
27530.650390625,0.861328125
27531.53125,0.880859375
27532.47265625,0.94140625
27533.361328125,0.888671875
27534.24609375,0.884765625
27535.111328125,0.865234375
27535.94140625,0.830078125
27536.734375,0.79296875
27537.498046875,0.763671875
27538.26171875,0.763671875
27539.013671875,0.751953125
27539.7578125,0.744140625
27540.494140625,0.736328125
27541.22265625,0.728515625
27541.939453125,0.716796875
27542.67578125,0.736328125
27543.6328125,0.95703125
27544.244140625,0.611328125
27545.119140625,0.875
27546.080078125,0.9609375
27547.017578125,0.9375
27547.974609375,0.95703125
27548.916015625,0.94140625
27549.83203125,0.916015625
27550.7109375,0.87890625
27551.609375,0.8984375
27552.5625,0.953125
27553.521484375,0.958984375
27554.484375,0.962890625
27555.4453125,0.9609375
27556.384765625,0.939453125
27557.275390625,0.890625
27558.1640625,0.888671875
27559.060546875,0.896484375
27559.97265625,0.912109375
27560.8984375,0.92578125
27561.890625,0.9921875
27562.9453125,1.0546875
27563.978515625,1.033203125
27565.037109375,1.05859375
27566.013671875,0.9765625
27566.91796875,0.904296875
27567.87109375,0.953125
27568.80859375,0.9375
27569.7265625,0.91796875
27570.634765625,0.908203125
27571.53515625,0.900390625
27572.416015625,0.880859375
27573.263671875,0.84765625
27574.1015625,0.837890625
27574.9375,0.8359375
27575.94921875,1.01171875
27576.560546875,0.611328125
27577.546875,0.986328125
27578.314453125,0.767578125
27579.1015625,0.787109375
27579.921875,0.8203125
27580.546875,0.625
27581.330078125,0.783203125
27582.123046875,0.79296875
27582.9375,0.814453125
27583.7890625,0.8515625
27584.884765625,1.095703125
27585.798828125,0.9140625
27586.703125,0.904296875
27587.568359375,0.865234375
27588.1875,0.619140625
27589.017578125,0.830078125
27590.033203125,1.015625
27590.83984375,0.806640625
27591.8359375,0.99609375
27592.828125,0.9921875
27593.767578125,0.939453125
27594.73046875,0.962890625
27595.6875,0.95703125
27596.625,0.9375
27597.71875,1.09375
27598.458984375,0.740234375
27599.39453125,0.935546875
