t_rr_s,rr_s
1.791015625,1.412109375
3.44140625,1.650390625
4.947265625,1.505859375
6.330078125,1.3828125
10.59765625,4.267578125
20.208984375,9.611328125
21.330078125,1.12109375
26.603515625,5.2734375
27.173828125,0.5703125
28.3125,1.138671875
28.865234375,0.552734375
29.40625,0.541015625
29.939453125,0.533203125
30.462890625,0.5234375
30.990234375,0.52734375
31.5234375,0.533203125
34.2578125,2.734375
34.798828125,0.541015625
38.66015625,3.861328125
41.28515625,2.625
42.46484375,1.1796875
43.2734375,0.80859375
43.640625,0.3671875
51.748046875,8.107421875
52.3046875,0.556640625
52.859375,0.5546875
53.4140625,0.5546875
54.0859375,0.671875
54.70703125,0.62109375
55.3125,0.60546875
55.9296875,0.6171875
56.583984375,0.654296875
57.265625,0.681640625
57.90234375,0.63671875
58.53515625,0.6328125
59.162109375,0.626953125
59.80078125,0.638671875
61.837890625,2.037109375
62.716796875,0.87890625
69.50390625,6.787109375
70.078125,0.57421875
74.529296875,4.451171875
75.109375,0.580078125
83.224609375,8.115234375
83.787109375,0.5625
84.349609375,0.5625
84.91015625,0.560546875
85.466796875,0.556640625
86.015625,0.548828125
86.583984375,0.568359375
87.162109375,0.578125
87.74609375,0.583984375
88.31640625,0.5703125
88.93359375,0.6171875
89.330078125,0.396484375
90.16796875,0.837890625
90.583984375,0.416015625
91.189453125,0.60546875
95.60546875,4.416015625
96.21484375,0.609375
96.828125,0.61328125
98.890625,2.0625
101.171875,2.28125
107.54296875,6.37109375
